"source","target","source_description","target_description","contingency"
"CR","EI","Criticize or point out error in nonverbal act.","Elicit imitation of word or sentence by modelling or by explicit command",1
"CR","MK","Criticize or point out error in nonverbal act.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"CR","OO","Criticize or point out error in nonverbal act.","Unintelligible vocalization.",0
"CR","PA","Criticize or point out error in nonverbal act.","Permit hearer to perform act.",1
"CR","PF","Criticize or point out error in nonverbal act.","Prohibit/forbid/protest hearer's performance of an act",1
"CR","PR","Criticize or point out error in nonverbal act.","Perform verbal move in game.",1
"CR","QN","Criticize or point out error in nonverbal act.","Ask a product-question (wh-question)",1
"CR","RD","Criticize or point out error in nonverbal act.","Refuse to carry out an act requested or proposed by other.",1
"CR","RP","Criticize or point out error in nonverbal act.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"CR","RR","Criticize or point out error in nonverbal act.","Request to repeat utterance.",1
"CR","RT","Criticize or point out error in nonverbal act.","Repeat or imitate other's utterance.",1
"CR","SA","Criticize or point out error in nonverbal act.","Answer a wh-question with a statement.",0
"CR","SI","Criticize or point out error in nonverbal act.","State intent to carry out act by speaker.",1
"CR","ST","Criticize or point out error in nonverbal act.","Make a declarative statement.",1
"CR","TO","Criticize or point out error in nonverbal act.","Mark transfer of object to hearer",1
"CR","YQ","Criticize or point out error in nonverbal act.","Ask a yes/no question.",1
"CR","YY","Criticize or point out error in nonverbal act.","Make a word-like utterance without clear function.",0
"CS","AB","Counter-suggestion/ an indirect refusal.","Approve of appropriate behavior.",0
"CS","AC","Counter-suggestion/ an indirect refusal.","Answer calls/ show attentiveness to communications.",0
"CS","AD","Counter-suggestion/ an indirect refusal.","Agree to carry out an act requested or proposed by other.",1
"CS","AN","Counter-suggestion/ an indirect refusal.","Answer in the negative to yes/no question",1
"CS","AP","Counter-suggestion/ an indirect refusal.","Agree with proposition or proposal expressed by previous speaker",1
"CS","CL","Counter-suggestion/ an indirect refusal.","Call attention to hearer by name or by substitute exclamations",1
"CS","CN","Counter-suggestion/ an indirect refusal.","Count.",0
"CS","CS","Counter-suggestion/ an indirect refusal.","Counter-suggestion/ an indirect refusal.",1
"CS","CT","Counter-suggestion/ an indirect refusal.","Correct provide correct verbal form in place of erroneous one.",1
"CS","DP","Counter-suggestion/ an indirect refusal.","Declare make-believe reality.",0
"CS","DS","Counter-suggestion/ an indirect refusal.","Disapprove scold protest disruptive behavior.",0
"CS","DW","Counter-suggestion/ an indirect refusal.","Disagree with proposition expressed by previous speaker.",1
"CS","EC","Counter-suggestion/ an indirect refusal.","Elicit completion of word or sentence.",0
"CS","ED","Counter-suggestion/ an indirect refusal.","Exclaim in disapproval.",1
"CS","EI","Counter-suggestion/ an indirect refusal.","Elicit imitation of word or sentence by modelling or by explicit command",0
"CS","EM","Counter-suggestion/ an indirect refusal.","Exclaim in distress pain.",1
"CS","FP","Counter-suggestion/ an indirect refusal.","Ask for permission to carry out act.",1
"CS","GI","Counter-suggestion/ an indirect refusal.","Give in/ accept other's insistence or refusal.",1
"CS","GR","Counter-suggestion/ an indirect refusal.","Give reason/ justify a request for an action refusal or prohibition",1
"CS","MK","Counter-suggestion/ an indirect refusal.","Mark occurrence of event (thank greet apologize congratulate etc.).",0
"CS","OO","Counter-suggestion/ an indirect refusal.","Unintelligible vocalization.",0
"CS","PA","Counter-suggestion/ an indirect refusal.","Permit hearer to perform act.",1
"CS","PD","Counter-suggestion/ an indirect refusal.","Promise.",1
"CS","PF","Counter-suggestion/ an indirect refusal.","Prohibit/forbid/protest hearer's performance of an act",0
"CS","PM","Counter-suggestion/ an indirect refusal.","Praise for motor acts i.e for nonverbal behavior.",1
"CS","PR","Counter-suggestion/ an indirect refusal.","Perform verbal move in game.",1
"CS","QN","Counter-suggestion/ an indirect refusal.","Ask a product-question (wh-question)",1
"CS","RD","Counter-suggestion/ an indirect refusal.","Refuse to carry out an act requested or proposed by other.",1
"CS","RP","Counter-suggestion/ an indirect refusal.","Request propose or suggest an action for hearer or for hearer and speaker.",0
"CS","RQ","Counter-suggestion/ an indirect refusal.","Yes/no question or suggestion about hearer's wishes and intentions",0
"CS","RR","Counter-suggestion/ an indirect refusal.","Request to repeat utterance.",1
"CS","RT","Counter-suggestion/ an indirect refusal.","Repeat or imitate other's utterance.",0
"CS","SA","Counter-suggestion/ an indirect refusal.","Answer a wh-question with a statement.",1
"CS","SI","Counter-suggestion/ an indirect refusal.","State intent to carry out act by speaker.",1
"CS","SS","Counter-suggestion/ an indirect refusal.","Signal to start performing an act such as running or rolling a ball",1
"CS","ST","Counter-suggestion/ an indirect refusal.","Make a declarative statement.",0
"CS","TO","Counter-suggestion/ an indirect refusal.","Mark transfer of object to hearer",0
"CS","TQ","Counter-suggestion/ an indirect refusal.","Ask a limited-alternative yes/no question.",0
"CS","TX","Counter-suggestion/ an indirect refusal.","Read or recite written text aloud.",0
"CS","WD","Counter-suggestion/ an indirect refusal.","Warn of danger.",1
"CS","XA","Counter-suggestion/ an indirect refusal.","Exhibit attentiveness to hearer.",1
"CS","YQ","Counter-suggestion/ an indirect refusal.","Ask a yes/no question.",0
"CS","YY","Counter-suggestion/ an indirect refusal.","Make a word-like utterance without clear function.",0
"CT","AA","Correct provide correct verbal form in place of erroneous one.","Answer in the affirmative to yes/no question.",0
"CT","AC","Correct provide correct verbal form in place of erroneous one.","Answer calls/ show attentiveness to communications.",0
"CT","AD","Correct provide correct verbal form in place of erroneous one.","Agree to carry out an act requested or proposed by other.",0
"CT","AN","Correct provide correct verbal form in place of erroneous one.","Answer in the negative to yes/no question",0
"CT","AP","Correct provide correct verbal form in place of erroneous one.","Agree with proposition or proposal expressed by previous speaker",1
"CT","CL","Correct provide correct verbal form in place of erroneous one.","Call attention to hearer by name or by substitute exclamations",1
"CT","CN","Correct provide correct verbal form in place of erroneous one.","Count.",1
"CT","CS","Correct provide correct verbal form in place of erroneous one.","Counter-suggestion/ an indirect refusal.",1
"CT","CT","Correct provide correct verbal form in place of erroneous one.","Correct provide correct verbal form in place of erroneous one.",0
"CT","DC","Correct provide correct verbal form in place of erroneous one.","Create a new state of affairs by declaration",1
"CT","DP","Correct provide correct verbal form in place of erroneous one.","Declare make-believe reality.",1
"CT","DS","Correct provide correct verbal form in place of erroneous one.","Disapprove scold protest disruptive behavior.",1
"CT","DW","Correct provide correct verbal form in place of erroneous one.","Disagree with proposition expressed by previous speaker.",1
"CT","EA","Correct provide correct verbal form in place of erroneous one.","Elicit onomatopoeic or animal sounds.",1
"CT","EC","Correct provide correct verbal form in place of erroneous one.","Elicit completion of word or sentence.",1
"CT","ED","Correct provide correct verbal form in place of erroneous one.","Exclaim in disapproval.",1
"CT","EI","Correct provide correct verbal form in place of erroneous one.","Elicit imitation of word or sentence by modelling or by explicit command",1
"CT","ET","Correct provide correct verbal form in place of erroneous one.","Express enthusiasm for hearer's performance.",1
"CT","EX","Correct provide correct verbal form in place of erroneous one.","Elicit completion of rote-learned text.",1
"CT","FP","Correct provide correct verbal form in place of erroneous one.","Ask for permission to carry out act.",1
"CT","GR","Correct provide correct verbal form in place of erroneous one.","Give reason/ justify a request for an action refusal or prohibition",1
"CT","MK","Correct provide correct verbal form in place of erroneous one.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"CT","OO","Correct provide correct verbal form in place of erroneous one.","Unintelligible vocalization.",0
"CT","PA","Correct provide correct verbal form in place of erroneous one.","Permit hearer to perform act.",0
"CT","PF","Correct provide correct verbal form in place of erroneous one.","Prohibit/forbid/protest hearer's performance of an act",1
"CT","PM","Correct provide correct verbal form in place of erroneous one.","Praise for motor acts i.e for nonverbal behavior.",1
"CT","PR","Correct provide correct verbal form in place of erroneous one.","Perform verbal move in game.",1
"CT","QN","Correct provide correct verbal form in place of erroneous one.","Ask a product-question (wh-question)",1
"CT","RD","Correct provide correct verbal form in place of erroneous one.","Refuse to carry out an act requested or proposed by other.",0
"CT","RP","Correct provide correct verbal form in place of erroneous one.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"CT","RQ","Correct provide correct verbal form in place of erroneous one.","Yes/no question or suggestion about hearer's wishes and intentions",1
"CT","RR","Correct provide correct verbal form in place of erroneous one.","Request to repeat utterance.",1
"CT","RT","Correct provide correct verbal form in place of erroneous one.","Repeat or imitate other's utterance.",1
"CT","SA","Correct provide correct verbal form in place of erroneous one.","Answer a wh-question with a statement.",0
"CT","SI","Correct provide correct verbal form in place of erroneous one.","State intent to carry out act by speaker.",1
"CT","SS","Correct provide correct verbal form in place of erroneous one.","Signal to start performing an act such as running or rolling a ball",1
"CT","ST","Correct provide correct verbal form in place of erroneous one.","Make a declarative statement.",1
"CT","TO","Correct provide correct verbal form in place of erroneous one.","Mark transfer of object to hearer",1
"CT","TQ","Correct provide correct verbal form in place of erroneous one.","Ask a limited-alternative yes/no question.",1
"CT","TX","Correct provide correct verbal form in place of erroneous one.","Read or recite written text aloud.",1
"CT","YQ","Correct provide correct verbal form in place of erroneous one.","Ask a yes/no question.",1
"CT","YY","Correct provide correct verbal form in place of erroneous one.","Make a word-like utterance without clear function.",0
"DC","AA","Create a new state of affairs by declaration","Answer in the affirmative to yes/no question.",0
"DC","AB","Create a new state of affairs by declaration","Approve of appropriate behavior.",1
"DC","AC","Create a new state of affairs by declaration","Answer calls/ show attentiveness to communications.",0
"DC","AD","Create a new state of affairs by declaration","Agree to carry out an act requested or proposed by other.",0
"DC","AN","Create a new state of affairs by declaration","Answer in the negative to yes/no question",0
"DC","AP","Create a new state of affairs by declaration","Agree with proposition or proposal expressed by previous speaker",1
"DC","CL","Create a new state of affairs by declaration","Call attention to hearer by name or by substitute exclamations",1
"DC","CM","Create a new state of affairs by declaration","Commiserate express sympathy for hearer's distress.",0
"DC","CS","Create a new state of affairs by declaration","Counter-suggestion/ an indirect refusal.",0
"DC","CT","Create a new state of affairs by declaration","Correct provide correct verbal form in place of erroneous one.",1
"DC","DC","Create a new state of affairs by declaration","Create a new state of affairs by declaration",1
"DC","DP","Create a new state of affairs by declaration","Declare make-believe reality.",1
"DC","DS","Create a new state of affairs by declaration","Disapprove scold protest disruptive behavior.",1
"DC","DW","Create a new state of affairs by declaration","Disagree with proposition expressed by previous speaker.",1
"DC","EC","Create a new state of affairs by declaration","Elicit completion of word or sentence.",1
"DC","ET","Create a new state of affairs by declaration","Express enthusiasm for hearer's performance.",1
"DC","FP","Create a new state of affairs by declaration","Ask for permission to carry out act.",1
"DC","GI","Create a new state of affairs by declaration","Give in/ accept other's insistence or refusal.",0
"DC","GR","Create a new state of affairs by declaration","Give reason/ justify a request for an action refusal or prohibition",0
"DC","MK","Create a new state of affairs by declaration","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"DC","ND","Create a new state of affairs by declaration","Disagree with a declaration.",1
"DC","OO","Create a new state of affairs by declaration","Unintelligible vocalization.",0
"DC","PD","Create a new state of affairs by declaration","Promise.",1
"DC","PF","Create a new state of affairs by declaration","Prohibit/forbid/protest hearer's performance of an act",1
"DC","PM","Create a new state of affairs by declaration","Praise for motor acts i.e for nonverbal behavior.",1
"DC","PR","Create a new state of affairs by declaration","Perform verbal move in game.",1
"DC","QN","Create a new state of affairs by declaration","Ask a product-question (wh-question)",1
"DC","RD","Create a new state of affairs by declaration","Refuse to carry out an act requested or proposed by other.",0
"DC","RP","Create a new state of affairs by declaration","Request propose or suggest an action for hearer or for hearer and speaker.",1
"DC","RQ","Create a new state of affairs by declaration","Yes/no question or suggestion about hearer's wishes and intentions",1
"DC","RR","Create a new state of affairs by declaration","Request to repeat utterance.",1
"DC","RT","Create a new state of affairs by declaration","Repeat or imitate other's utterance.",1
"DC","SA","Create a new state of affairs by declaration","Answer a wh-question with a statement.",0
"DC","SI","Create a new state of affairs by declaration","State intent to carry out act by speaker.",1
"DC","SS","Create a new state of affairs by declaration","Signal to start performing an act such as running or rolling a ball",1
"DC","ST","Create a new state of affairs by declaration","Make a declarative statement.",1
"DC","TO","Create a new state of affairs by declaration","Mark transfer of object to hearer",1
"DC","TQ","Create a new state of affairs by declaration","Ask a limited-alternative yes/no question.",1
"DC","TX","Create a new state of affairs by declaration","Read or recite written text aloud.",1
"DC","XA","Create a new state of affairs by declaration","Exhibit attentiveness to hearer.",1
"DC","YD","Create a new state of affairs by declaration","Agree to a declaration.",1
"DC","YQ","Create a new state of affairs by declaration","Ask a yes/no question.",1
"DC","YY","Create a new state of affairs by declaration","Make a word-like utterance without clear function.",0
"DP","AB","Declare make-believe reality.","Approve of appropriate behavior.",1
"DP","AC","Declare make-believe reality.","Answer calls/ show attentiveness to communications.",0
"DP","AD","Declare make-believe reality.","Agree to carry out an act requested or proposed by other.",0
"DP","AN","Declare make-believe reality.","Answer in the negative to yes/no question",0
"DP","AP","Declare make-believe reality.","Agree with proposition or proposal expressed by previous speaker",1
"DP","CL","Declare make-believe reality.","Call attention to hearer by name or by substitute exclamations",1
"DP","CN","Declare make-believe reality.","Count.",1
"DP","CS","Declare make-believe reality.","Counter-suggestion/ an indirect refusal.",1
"DP","CT","Declare make-believe reality.","Correct provide correct verbal form in place of erroneous one.",1
"DP","DP","Declare make-believe reality.","Declare make-believe reality.",1
"DP","DS","Declare make-believe reality.","Disapprove scold protest disruptive behavior.",1
"DP","DW","Declare make-believe reality.","Disagree with proposition expressed by previous speaker.",1
"DP","EA","Declare make-believe reality.","Elicit onomatopoeic or animal sounds.",1
"DP","EC","Declare make-believe reality.","Elicit completion of word or sentence.",1
"DP","ED","Declare make-believe reality.","Exclaim in disapproval.",1
"DP","EI","Declare make-believe reality.","Elicit imitation of word or sentence by modelling or by explicit command",1
"DP","ET","Declare make-believe reality.","Express enthusiasm for hearer's performance.",1
"DP","FP","Declare make-believe reality.","Ask for permission to carry out act.",1
"DP","GR","Declare make-believe reality.","Give reason/ justify a request for an action refusal or prohibition",0
"DP","MK","Declare make-believe reality.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"DP","OO","Declare make-believe reality.","Unintelligible vocalization.",0
"DP","PA","Declare make-believe reality.","Permit hearer to perform act.",1
"DP","PD","Declare make-believe reality.","Promise.",1
"DP","PF","Declare make-believe reality.","Prohibit/forbid/protest hearer's performance of an act",1
"DP","PM","Declare make-believe reality.","Praise for motor acts i.e for nonverbal behavior.",1
"DP","PR","Declare make-believe reality.","Perform verbal move in game.",1
"DP","QN","Declare make-believe reality.","Ask a product-question (wh-question)",1
"DP","RD","Declare make-believe reality.","Refuse to carry out an act requested or proposed by other.",0
"DP","RP","Declare make-believe reality.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"DP","RQ","Declare make-believe reality.","Yes/no question or suggestion about hearer's wishes and intentions",1
"DP","RR","Declare make-believe reality.","Request to repeat utterance.",1
"DP","RT","Declare make-believe reality.","Repeat or imitate other's utterance.",1
"DP","SA","Declare make-believe reality.","Answer a wh-question with a statement.",0
"DP","SI","Declare make-believe reality.","State intent to carry out act by speaker.",1
"DP","SS","Declare make-believe reality.","Signal to start performing an act such as running or rolling a ball",1
"DP","ST","Declare make-believe reality.","Make a declarative statement.",1
"DP","TO","Declare make-believe reality.","Mark transfer of object to hearer",1
"DP","TQ","Declare make-believe reality.","Ask a limited-alternative yes/no question.",1
"DP","TX","Declare make-believe reality.","Read or recite written text aloud.",1
"DP","WD","Declare make-believe reality.","Warn of danger.",1
"DP","XA","Declare make-believe reality.","Exhibit attentiveness to hearer.",1
"DP","YD","Declare make-believe reality.","Agree to a declaration.",1
"DP","YQ","Declare make-believe reality.","Ask a yes/no question.",1
"DP","YY","Declare make-believe reality.","Make a word-like utterance without clear function.",0
"DS","AA","Disapprove scold protest disruptive behavior.","Answer in the affirmative to yes/no question.",0
"DS","AB","Disapprove scold protest disruptive behavior.","Approve of appropriate behavior.",0
"DS","AC","Disapprove scold protest disruptive behavior.","Answer calls/ show attentiveness to communications.",0
"DS","AD","Disapprove scold protest disruptive behavior.","Agree to carry out an act requested or proposed by other.",0
"DS","AN","Disapprove scold protest disruptive behavior.","Answer in the negative to yes/no question",0
"DS","AP","Disapprove scold protest disruptive behavior.","Agree with proposition or proposal expressed by previous speaker",0
"DS","CL","Disapprove scold protest disruptive behavior.","Call attention to hearer by name or by substitute exclamations",1
"DS","CM","Disapprove scold protest disruptive behavior.","Commiserate express sympathy for hearer's distress.",1
"DS","CN","Disapprove scold protest disruptive behavior.","Count.",1
"DS","CT","Disapprove scold protest disruptive behavior.","Correct provide correct verbal form in place of erroneous one.",1
"DS","DC","Disapprove scold protest disruptive behavior.","Create a new state of affairs by declaration",1
"DS","DP","Disapprove scold protest disruptive behavior.","Declare make-believe reality.",1
"DS","DS","Disapprove scold protest disruptive behavior.","Disapprove scold protest disruptive behavior.",0
"DS","DW","Disapprove scold protest disruptive behavior.","Disagree with proposition expressed by previous speaker.",1
"DS","ED","Disapprove scold protest disruptive behavior.","Exclaim in disapproval.",1
"DS","EI","Disapprove scold protest disruptive behavior.","Elicit imitation of word or sentence by modelling or by explicit command",1
"DS","EM","Disapprove scold protest disruptive behavior.","Exclaim in distress pain.",1
"DS","ET","Disapprove scold protest disruptive behavior.","Express enthusiasm for hearer's performance.",0
"DS","FP","Disapprove scold protest disruptive behavior.","Ask for permission to carry out act.",1
"DS","GR","Disapprove scold protest disruptive behavior.","Give reason/ justify a request for an action refusal or prohibition",1
"DS","MK","Disapprove scold protest disruptive behavior.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"DS","OO","Disapprove scold protest disruptive behavior.","Unintelligible vocalization.",0
"DS","PA","Disapprove scold protest disruptive behavior.","Permit hearer to perform act.",0
"DS","PF","Disapprove scold protest disruptive behavior.","Prohibit/forbid/protest hearer's performance of an act",1
"DS","PR","Disapprove scold protest disruptive behavior.","Perform verbal move in game.",1
"DS","QN","Disapprove scold protest disruptive behavior.","Ask a product-question (wh-question)",1
"DS","RD","Disapprove scold protest disruptive behavior.","Refuse to carry out an act requested or proposed by other.",0
"DS","RP","Disapprove scold protest disruptive behavior.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"DS","RQ","Disapprove scold protest disruptive behavior.","Yes/no question or suggestion about hearer's wishes and intentions",1
"DS","RR","Disapprove scold protest disruptive behavior.","Request to repeat utterance.",1
"DS","RT","Disapprove scold protest disruptive behavior.","Repeat or imitate other's utterance.",1
"DS","SA","Disapprove scold protest disruptive behavior.","Answer a wh-question with a statement.",0
"DS","SI","Disapprove scold protest disruptive behavior.","State intent to carry out act by speaker.",1
"DS","SS","Disapprove scold protest disruptive behavior.","Signal to start performing an act such as running or rolling a ball",1
"DS","ST","Disapprove scold protest disruptive behavior.","Make a declarative statement.",1
"DS","TO","Disapprove scold protest disruptive behavior.","Mark transfer of object to hearer",1
"DS","TQ","Disapprove scold protest disruptive behavior.","Ask a limited-alternative yes/no question.",1
"DS","TX","Disapprove scold protest disruptive behavior.","Read or recite written text aloud.",1
"DS","YQ","Disapprove scold protest disruptive behavior.","Ask a yes/no question.",1
"DS","YY","Disapprove scold protest disruptive behavior.","Make a word-like utterance without clear function.",0
"DW","AA","Disagree with proposition expressed by previous speaker.","Answer in the affirmative to yes/no question.",0
"DW","AB","Disagree with proposition expressed by previous speaker.","Approve of appropriate behavior.",0
"DW","AC","Disagree with proposition expressed by previous speaker.","Answer calls/ show attentiveness to communications.",0
"DW","AD","Disagree with proposition expressed by previous speaker.","Agree to carry out an act requested or proposed by other.",0
"DW","AN","Disagree with proposition expressed by previous speaker.","Answer in the negative to yes/no question",0
"DW","AP","Disagree with proposition expressed by previous speaker.","Agree with proposition or proposal expressed by previous speaker",0
"DW","CL","Disagree with proposition expressed by previous speaker.","Call attention to hearer by name or by substitute exclamations",1
"DW","CM","Disagree with proposition expressed by previous speaker.","Commiserate express sympathy for hearer's distress.",0
"DW","CN","Disagree with proposition expressed by previous speaker.","Count.",1
"DW","CR","Disagree with proposition expressed by previous speaker.","Criticize or point out error in nonverbal act.",0
"DW","CS","Disagree with proposition expressed by previous speaker.","Counter-suggestion/ an indirect refusal.",1
"DW","CT","Disagree with proposition expressed by previous speaker.","Correct provide correct verbal form in place of erroneous one.",1
"DW","DC","Disagree with proposition expressed by previous speaker.","Create a new state of affairs by declaration",1
"DW","DP","Disagree with proposition expressed by previous speaker.","Declare make-believe reality.",1
"DW","DS","Disagree with proposition expressed by previous speaker.","Disapprove scold protest disruptive behavior.",0
"DW","DW","Disagree with proposition expressed by previous speaker.","Disagree with proposition expressed by previous speaker.",0
"DW","EA","Disagree with proposition expressed by previous speaker.","Elicit onomatopoeic or animal sounds.",1
"DW","EC","Disagree with proposition expressed by previous speaker.","Elicit completion of word or sentence.",1
"DW","EI","Disagree with proposition expressed by previous speaker.","Elicit imitation of word or sentence by modelling or by explicit command",1
"DW","EM","Disagree with proposition expressed by previous speaker.","Exclaim in distress pain.",1
"DW","ET","Disagree with proposition expressed by previous speaker.","Express enthusiasm for hearer's performance.",0
"DW","FP","Disagree with proposition expressed by previous speaker.","Ask for permission to carry out act.",1
"DW","GI","Disagree with proposition expressed by previous speaker.","Give in/ accept other's insistence or refusal.",1
"DW","GR","Disagree with proposition expressed by previous speaker.","Give reason/ justify a request for an action refusal or prohibition",1
"DW","MK","Disagree with proposition expressed by previous speaker.","Mark occurrence of event (thank greet apologize congratulate etc.).",1
"DW","OO","Disagree with proposition expressed by previous speaker.","Unintelligible vocalization.",0
"DW","PA","Disagree with proposition expressed by previous speaker.","Permit hearer to perform act.",0
"DW","PD","Disagree with proposition expressed by previous speaker.","Promise.",1
"DW","PF","Disagree with proposition expressed by previous speaker.","Prohibit/forbid/protest hearer's performance of an act",1
"DW","PR","Disagree with proposition expressed by previous speaker.","Perform verbal move in game.",1
"DW","QN","Disagree with proposition expressed by previous speaker.","Ask a product-question (wh-question)",1
"DW","RD","Disagree with proposition expressed by previous speaker.","Refuse to carry out an act requested or proposed by other.",0
"DW","RP","Disagree with proposition expressed by previous speaker.","Request propose or suggest an action for hearer or for hearer and speaker.",1
"DW","RQ","Disagree with proposition expressed by previous speaker.","Yes/no question or suggestion about hearer's wishes and intentions",1
"DW","RR","Disagree with proposition expressed by previous speaker.","Request to repeat utterance.",1
"DW","RT","Disagree with proposition expressed by previous speaker.","Repeat or imitate other's utterance.",1
"DW","SA","Disagree with proposition expressed by previous speaker.","Answer a wh-question with a statement.",0
"DW","SI","Disagree with proposition expressed by previous speaker.","State intent to carry out act by speaker.",1
"DW","SS","Disagree with proposition expressed by previous speaker.","Signal to start performing an act such as running or rolling a ball",1
"DW","ST","Disagree with proposition expressed by previous speaker.","Make a declarative statement.",1
"DW","TO","Disagree with proposition expressed by previous speaker.","Mark transfer of object to hearer",1
"DW","TQ","Disagree with proposition expressed by previous speaker.","Ask a limited-alternative yes/no question.",1
"DW","TX","Disagree with proposition expressed by previous speaker.","Read or recite written text aloud.",1
"DW","WD","Disagree with proposition expressed by previous speaker.","Warn of danger.",1
"DW","XA","Disagree with proposition expressed by previous speaker.","Exhibit attentiveness to hearer.",1
"DW","YA","Disagree with proposition expressed by previous speaker.","Answer a question with a yes/no question.",0
"DW","YQ","Disagree with proposition expressed by previous speaker.","Ask a yes/no question.",1
"DW","YY","Disagree with proposition expressed by previous speaker.","Make a word-like utterance without clear function.",0
"EA","AC","Elicit onomatopoeic or animal sounds.","Answer calls/ show attentiveness to communications.",0
"EA","AD","Elicit onomatopoeic or animal sounds.","Agree to carry out an act requested or proposed by other.",0
"EA","AP","Elicit onomatopoeic or animal sounds.","Agree with proposition or proposal expressed by previous speaker",0
"EA","CL","Elicit onomatopoeic or animal sounds.","Call attention to hearer by name or by substitute exclamations",0
"EA","CN","Elicit onomatopoeic or animal sounds.","Count.",0
"EA","CS","Elicit onomatopoeic or animal sounds.","Counter-suggestion/ an indirect refusal.",1
"EA","CT","Elicit onomatopoeic or animal sounds.","Correct provide correct verbal form in place of erroneous one.",1
"EA","DC","Elicit onomatopoeic or animal sounds.","Create a new state of affairs by declaration",0
"EA","DP","Elicit onomatopoeic or animal sounds.","Declare make-believe reality.",0
"EA","DW","Elicit onomatopoeic or animal sounds.","Disagree with proposition expressed by previous speaker.",1
"EA","EA","Elicit onomatopoeic or animal sounds.","Elicit onomatopoeic or animal sounds.",0
"EA","ED","Elicit onomatopoeic or animal sounds.","Exclaim in disapproval.",1
"EA","EI","Elicit onomatopoeic or animal sounds.","Elicit imitation of word or sentence by modelling or by explicit command",1
"EA","ET","Elicit onomatopoeic or animal sounds.","Express enthusiasm for hearer's performance.",0
"EA","FP","Elicit onomatopoeic or animal sounds.","Ask for permission to carry out act.",1
"EA","GR","Elicit onomatopoeic or animal sounds.","Give reason/ justify a request for an action refusal or prohibition",0
"EA","MK","Elicit onomatopoeic or animal sounds.","Mark occurrence of event (thank greet apologize congratulate etc.).",0
"EA","OO","Elicit onomatopoeic or animal sounds.","Unintelligible vocalization.",0
"EA","PF","Elicit onomatopoeic or animal sounds.","Prohibit/forbid/protest hearer's performance of an act",0
"EA","PR","Elicit onomatopoeic or animal sounds.","Perform verbal move in game.",1
"EA","QN","Elicit onomatopoeic or animal sounds.","Ask a product-question (wh-question)",1
"EA","RD","Elicit onomatopoeic or animal sounds.","Refuse to carry out an act requested or proposed by other.",1
"EA","RP","Elicit onomatopoeic or animal sounds.","Request propose or suggest an action for hearer or for hearer and speaker.",0
"EA","RR","Elicit onomatopoeic or animal sounds.","Request to repeat utterance.",1
"EA","RT","Elicit onomatopoeic or animal sounds.","Repeat or imitate other's utterance.",1
"EA","SA","Elicit onomatopoeic or animal sounds.","Answer a wh-question with a statement.",0
"EA","SI","Elicit onomatopoeic or animal sounds.","State intent to carry out act by speaker.",1
"EA","ST","Elicit onomatopoeic or animal sounds.","Make a declarative statement.",1
"EA","TO","Elicit onomatopoeic or animal sounds.","Mark transfer of object to hearer",0
"EA","TX","Elicit onomatopoeic or animal sounds.","Read or recite written text aloud.",1
"EA","YQ","Elicit onomatopoeic or animal sounds.","Ask a yes/no question.",1
"EA","YY","Elicit onomatopoeic or animal sounds.","Make a word-like utterance without clear function.",0
"EC","AC","Elicit completion of word or sentence.","Answer calls/ show attentiveness to communications.",0
"EC","CL","Elicit completion of word or sentence.","Call attention to hearer by name or by substitute exclamations",0
"EC","CN","Elicit completion of word or sentence.","Count.",0
"EC","CS","Elicit completion of word or sentence.","Counter-suggestion/ an indirect refusal.",1
"EC","CT","Elicit completion of word or sentence.","Correct provide correct verbal form in place of erroneous one.",1
"EC","DC","Elicit completion of word or sentence.","Create a new state of affairs by declaration",0
"EC","DP","Elicit completion of word or sentence.","Declare make-believe reality.",0
"EC","DS","Elicit completion of word or sentence.","Disapprove scold protest disruptive behavior.",0
"EC","EC","Elicit completion of word or sentence.","Elicit completion of word or sentence.",0
"EC","EI","Elicit completion of word or sentence.","Elicit imitation of word or sentence by modelling or by explicit command",0
"EC","MK","Elicit completion of word or sentence.","Mark occurrence of event (thank greet apologize congratulate etc.).",0
"EC","OO","Elicit completion of word or sentence.","Unintelligible vocalization.",0
"EC","PD","Elicit completion of word or sentence.","Promise.",0
"EC","PF","Elicit completion of word or sentence.","Prohibit/forbid/protest hearer's performance of an act",0
"EC","PR","Elicit completion of word or sentence.","Perform verbal move in game.",1
"EC","QN","Elicit completion of word or sentence.","Ask a product-question (wh-question)",1
"EC","RD","Elicit completion of word or sentence.","Refuse to carry out an act requested or proposed by other.",1
"EC","RP","Elicit completion of word or sentence.","Request propose or suggest an action for hearer or for hearer and speaker.",0
"EC","RQ","Elicit completion of word or sentence.","Yes/no question or suggestion about hearer's wishes and intentions",0
"EC","RR","Elicit completion of word or sentence.","Request to repeat utterance.",1
"EC","RT","Elicit completion of word or sentence.","Repeat or imitate other's utterance.",1
"EC","SA","Elicit completion of word or sentence.","Answer a wh-question with a statement.",0
